attempt_id,username,timestamp,success,ip_address,user_agent
ATT-283dab5b,admin,2026-01-19T09:41:58.813804,True,,
ATT-ad0d0ad2,admin,2026-01-19T09:42:16.519346,True,,
ATT-da2b5959,admin,2026-01-19T14:30:05.316780,True,,
ATT-d0d99e02,admin,2026-01-29T19:57:38.542114,False,,
ATT-58f13da9,admin,2026-01-29T19:57:48.607933,True,,
ATT-f9a02bb8,admin,2026-01-30T14:34:41.175279,False,,
ATT-c4926bdb,admin,2026-02-05T18:58:54.056759,False,,
ATT-140f261c,admin,2026-02-05T18:59:03.963212,False,,
ATT-027f4ce8,admin,2026-02-05T18:59:13.311035,False,,
ATT-6b9d5a80,amin,2026-02-06T17:19:47.098702,False,,
