id,source,title,description,price,address,city,state,phone,email,url,posted_date,scraped_at,status,notes
CL-60258,craigslist,WE DO PROPERTY CLEAN-UPS {{{ INSIDE AND OUT }}} ALL TYPES,,0,ALL OVER,Columbus,OH,,,https://columbus.craigslist.org/reo/d/columbus-we-do-property-clean-ups/7905872096.html,,2026-01-17T12:25:09.077954,new,
CL-17959,craigslist,"Richwood, Ohio",,139400,,Columbus,OH,,,https://columbus.craigslist.org/reo/d/marengo-richwood-ohio/7909211954.html,,2026-01-17T12:25:09.078006,new,
CL-42845,craigslist,3 BED 2 FULL BATH Manufactured Home,,34000,Grove City,Columbus,OH,,,https://columbus.craigslist.org/reo/d/harrisburg-bed-full-bath-manufactured/7909204371.html,,2026-01-17T12:25:09.078014,new,
CL-06016,craigslist,House for sale,,645000,,Columbus,OH,,,https://columbus.craigslist.org/reo/d/westerville-house-for-sale/7909157071.html,,2026-01-17T12:25:09.078021,new,
CL-14523,craigslist,3 acre country lot,,91000,Mt. Gilead,Columbus,OH,,,https://columbus.craigslist.org/reo/d/mount-gilead-acre-country-lot/7907439241.html,,2026-01-17T12:25:09.078048,new,
CL-55190,craigslist,Single Family Home,,125000,Columbus,Columbus,OH,,,https://columbus.craigslist.org/reo/d/reynoldsburg-single-family-home/7908894286.html,,2026-01-17T12:25:09.078054,new,
CL-50375,craigslist,Large 1 bedroom upstairs apartment,,795,Newark,Columbus,OH,,,https://columbus.craigslist.org/reo/d/newark-large-bedroom-upstairs-apartment/7906518595.html,,2026-01-17T12:25:09.078056,new,
CL-43642,craigslist,"/acre 202.749 Acre Fayette Co. Farm for Sale Barn Lot 3,489’ Frontage",,19000,US Hwy 62 NE Washington Court House,Columbus,OH,,,https://columbus.craigslist.org/reo/d/bloomingburg-acre-acre-fayette-co-farm/7907496714.html,,2026-01-17T12:25:09.078059,new,
CL-66309,craigslist,Contractor Opportunity !!,,0,,Columbus,OH,,,https://columbus.craigslist.org/reo/d/columbus-contractor-opportunity/7905606630.html,,2026-01-17T12:25:09.078066,new,
CL-31181,craigslist,Mobile Home,,15000,Lancaster,Columbus,OH,,,https://columbus.craigslist.org/reo/d/lancaster-mobile-home/7906999522.html,,2026-01-17T12:25:09.078069,new,
CL-63682,craigslist,half duplex reduced,,224000,Edgewater fl,Columbus,OH,,,https://columbus.craigslist.org/reo/d/edgewater-half-duplex-reduced/7907764151.html,,2026-01-17T12:25:09.078071,new,
